easting,northing,name,elevation
620648.3333333334,3345919.6666666665,gauge_66,0
620648.3333333334,3346910.0476190476,gauge_67,0
620648.3333333334,3347900.4285714286,gauge_68,0
620648.3333333334,3348890.8095238097,gauge_69,0
620648.3333333334,3349881.1904761903,gauge_610,0
620648.3333333334,3350871.5714285714,gauge_611,0
620648.3333333334,3351861.9523809524,gauge_612,0
620648.3333333334,3352852.3333333335,gauge_613,0
620648.3333333334,3353842.714285714,gauge_614,0
620648.3333333334,3354833.095238095,gauge_615,0
620648.3333333334,3355823.476190476,gauge_616,0
620648.3333333334,3356813.8571428573,gauge_617,0
620648.3333333334,3357804.238095238,gauge_618,0
620648.3333333334,3358794.619047619,gauge_619,0
621690.2380952381,3339977.380952381,gauge_70,0
621690.2380952381,3340967.761904762,gauge_71,0
621690.2380952381,3341958.1428571427,gauge_72,0
621690.2380952381,3342948.523809524,gauge_73,0
621690.2380952381,3343938.904761905,gauge_74,0
621690.2380952381,3344929.285714286,gauge_75,0
621690.2380952381,3345919.6666666665,gauge_76,0
621690.2380952381,3346910.0476190476,gauge_77,0
621690.2380952381,3347900.4285714286,gauge_78,0
621690.2380952381,3348890.8095238097,gauge_79,0
621690.2380952381,3349881.1904761903,gauge_710,0
621690.2380952381,3350871.5714285714,gauge_711,0
621690.2380952381,3351861.9523809524,gauge_712,0
621690.2380952381,3352852.3333333335,gauge_713,0
621690.2380952381,3353842.714285714,gauge_714,0
621690.2380952381,3354833.095238095,gauge_715,0
621690.2380952381,3355823.476190476,gauge_716,0
621690.2380952381,3356813.8571428573,gauge_717,0
621690.2380952381,3357804.238095238,gauge_718,0
621690.2380952381,3358794.619047619,gauge_719,0
622732.1428571428,3339977.380952381,gauge_80,0
622732.1428571428,3340967.761904762,gauge_81,0
622732.1428571428,3341958.1428571427,gauge_82,0
622732.1428571428,3342948.523809524,gauge_83,0
622732.1428571428,3343938.904761905,gauge_84,0
622732.1428571428,3344929.285714286,gauge_85,0
622732.1428571428,3345919.6666666665,gauge_86,0
622732.1428571428,3346910.0476190476,gauge_87,0
622732.1428571428,3347900.4285714286,gauge_88,0
622732.1428571428,3348890.8095238097,gauge_89,0
622732.1428571428,3349881.1904761903,gauge_810,0
622732.1428571428,3350871.5714285714,gauge_811,0
622732.1428571428,3351861.9523809524,gauge_812,0
622732.1428571428,3352852.3333333335,gauge_813,0
622732.1428571428,3353842.714285714,gauge_814,0
622732.1428571428,3354833.095238095,gauge_815,0
622732.1428571428,3355823.476190476,gauge_816,0
622732.1428571428,3356813.8571428573,gauge_817,0
622732.1428571428,3357804.238095238,gauge_818,0
622732.1428571428,3358794.619047619,gauge_819,0
623774.0476190476,3339977.380952381,gauge_90,0
623774.0476190476,3340967.761904762,gauge_91,0
623774.0476190476,3341958.1428571427,gauge_92,0
623774.0476190476,3342948.523809524,gauge_93,0
623774.0476190476,3343938.904761905,gauge_94,0
623774.0476190476,3344929.285714286,gauge_95,0
623774.0476190476,3345919.6666666665,gauge_96,0
623774.0476190476,3346910.0476190476,gauge_97,0
623774.0476190476,3347900.4285714286,gauge_98,0
623774.0476190476,3348890.8095238097,gauge_99,0
623774.0476190476,3349881.1904761903,gauge_910,0
623774.0476190476,3350871.5714285714,gauge_911,0
623774.0476190476,3351861.9523809524,gauge_912,0
623774.0476190476,3352852.3333333335,gauge_913,0
623774.0476190476,3353842.714285714,gauge_914,0
623774.0476190476,3354833.095238095,gauge_915,0
623774.0476190476,3355823.476190476,gauge_916,0
623774.0476190476,3356813.8571428573,gauge_917,0
623774.0476190476,3357804.238095238,gauge_918,0
623774.0476190476,3358794.619047619,gauge_919,0
624815.9523809524,3339977.380952381,gauge_100,0
624815.9523809524,3340967.761904762,gauge_101,0
624815.9523809524,3341958.1428571427,gauge_102,0
624815.9523809524,3342948.523809524,gauge_103,0
624815.9523809524,3343938.904761905,gauge_104,0
624815.9523809524,3344929.285714286,gauge_105,0
624815.9523809524,3345919.6666666665,gauge_106,0
624815.9523809524,3346910.0476190476,gauge_107,0
624815.9523809524,3347900.4285714286,gauge_108,0
624815.9523809524,3348890.8095238097,gauge_109,0
624815.9523809524,3349881.1904761903,gauge_1010,0
624815.9523809524,3350871.5714285714,gauge_1011,0
624815.9523809524,3351861.9523809524,gauge_1012,0
624815.9523809524,3352852.3333333335,gauge_1013,0
624815.9523809524,3353842.714285714,gauge_1014,0
624815.9523809524,3354833.095238095,gauge_1015,0
624815.9523809524,3355823.476190476,gauge_1016,0
624815.9523809524,3356813.8571428573,gauge_1017,0
624815.9523809524,3357804.238095238,gauge_1018,0
624815.9523809524,3358794.619047619,gauge_1019,0
625857.8571428572,3339977.380952381,gauge_110,0
625857.8571428572,3340967.761904762,gauge_111,0
625857.8571428572,3341958.1428571427,gauge_112,0
625857.8571428572,3342948.523809524,gauge_113,0
625857.8571428572,3343938.904761905,gauge_114,0
625857.8571428572,3344929.285714286,gauge_115,0
625857.8571428572,3345919.6666666665,gauge_116,0
625857.8571428572,3346910.0476190476,gauge_117,0
